Playlist ID,Genre,Track ID,Track Position,Track Name,Track Added At,Track Popularity,Track Duration,Available Markets,Album,Album Type,Artist,Release Date,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Date Sourced
37i9dQZF1DXcBWIGoYBM5M,Pop,5T490vvoFNU6psep0NPmxs,1,Savage Love (Laxed - Siren Beat),2020-07-01T19:05:02Z,83,171374,78,Savage Love (Laxed - Siren Beat),single,|Jawsh 685|Jason Derulo,6/9/2020,3,1,4,0.243,0.795,0.48,0,0.271,-8.556,0.0688,0.723,149.919,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,7ytR5pFWmSjzHJIeQkgog4,2,ROCKSTAR (feat. Roddy Ricch),2020-07-01T19:05:02Z,100,181733,79,BLAME IT ON BABY,album,|DaBaby|Roddy Ricch,4/17/2020,11,1,4,0.247,0.746,0.69,0,0.101,-7.956,0.164,0.497,89.977,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,6UelLqGlWMcVH1E5c4H7lY,3,Watermelon Sugar,2020-07-01T19:05:02Z,93,174000,79,Fine Line,album,|Harry Styles,12/13/2019,0,1,4,0.122,0.548,0.816,0,0.335,-4.209,0.0465,0.557,95.39,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,3H7ihDc1dqLriiWXwsc2po,4,Breaking Me,2020-07-01T19:05:02Z,94,166793,79,Breaking Me,single,|Topic|A7S,12/19/2019,8,0,4,0.223,0.789,0.72,0,0.129,-5.652,0.218,0.664,122.031,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,5RqR4ZCCKJDcBLIn4sih9l,5,Party Girl,2020-07-01T19:05:02Z,95,147800,79,Party Girl,single,|StaySolidRocky,4/21/2020,6,0,4,0.749,0.728,0.431,0,0.0996,-9.966,0.0622,0.629,130.022,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,1raaNykBg1bDnWENUiglUA,6,Break My Heart,2020-07-01T19:05:02Z,89,221820,74,Break My Heart,single,|Dua Lipa,3/25/2020,4,0,4,0.167,0.73,0.729,1.39E-06,0.349,-3.434,0.0886,0.467,113.012,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,24ySl2hOPGCDcxBxFIqWBu,7,Rain On Me (with Ariana Grande),2020-07-01T19:05:02Z,94,182200,78,Rain On Me (with Ariana Grande),single,|Lady Gaga|Ariana Grande,5/22/2020,9,1,4,0.021,0.672,0.855,0,0.323,-3.764,0.0397,0.646,123.056,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,5v4GgrXPMghOnBBLmveLac,8,Savage Remix (feat. Beyoncé),2020-07-01T19:05:02Z,92,242000,79,Savage Remix (feat. Beyoncé),single,|Megan Thee Stallion|Beyoncé,4/29/2020,10,0,4,0.016,0.822,0.743,0,0.127,-4.772,0.28,0.636,84.459,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,3vAn0qZzdyuHamcrpkfiX3,9,How You Like That,2020-07-01T19:05:02Z,84,181263,57,How You Like That,single,|BLACKPINK,6/26/2020,11,1,4,0.0748,0.827,0.776,2.29E-05,0.0585,-4.015,0.0778,0.348,130.017,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,24Yi9hE78yPEbZ4kxyoXAI,10,Roses - Imanbek Remix,2020-07-01T19:05:02Z,97,176840,70,Roses (Imanbek Remix),single,|SAINt JHN|Imanbek,10/9/2019,8,1,4,0.0167,0.77,0.724,0.0107,0.353,-5.484,0.0495,0.898,121.975,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,62aP9fBQKYKxi7PDXwcUAS,11,ily (i love you baby) (feat. Emilee),2020-07-01T19:05:02Z,95,176546,79,ily (i love you baby) (feat. Emilee),single,|Surf Mesa|Emilee,11/26/2019,11,0,4,0.0686,0.674,0.774,0.00188,0.393,-7.567,0.0892,0.33,112.05,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,4nK5YrxbMGZstTLbvj6Gxw,12,Supalonely,2020-07-01T19:05:02Z,94,223480,79,STELLA & STEVE,single,|BENEE|Gus Dapperton,11/15/2019,7,1,4,0.305,0.863,0.631,3.04E-05,0.123,-4.689,0.0534,0.817,128.977,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,4HBZA5flZLE435QTztThqH,13,Stuck with U (with Justin Bieber),2020-07-01T19:05:02Z,94,228482,79,Stuck with U,single,|Ariana Grande|Justin Bieber,5/8/2020,8,1,3,0.223,0.597,0.45,0,0.382,-6.658,0.0418,0.537,178.765,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,127QTOFJsJQp5LbJbu3A1y,14,Toosie Slide,2020-07-01T19:05:02Z,94,247058,79,Toosie Slide,single,|Drake,4/3/2020,1,0,4,0.321,0.834,0.454,6.15E-06,0.114,-9.75,0.201,0.837,81.618,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,0sf12qNH5qcw8qpgymFOqD,15,Blinding Lights,2020-07-01T19:05:02Z,70,201573,0,Blinding Lights,single,|The Weeknd,11/29/2019,1,1,4,0.00147,0.513,0.796,0.000209,0.0938,-4.075,0.0629,0.345,171.017,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,3Z8FwOEN59mRMxDCtb8N0A,16,Be Kind (with Halsey),2020-07-01T19:05:02Z,91,172761,79,Be Kind (with Halsey),single,|Marshmello|Halsey,5/1/2020,4,1,4,0.00776,0.63,0.633,0,0.0541,-7.088,0.0457,0.452,93.995,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,2MbdDtCv5LUVjYy9RuGTgC,17,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2020-07-01T19:05:02Z,81,227478,79,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",single,|Jack Harlow|Tory Lanez|DaBaby|Lil Wayne,6/24/2020,11,0,4,0.0631,0.904,0.723,0,0.185,-5.224,0.26,0.835,145.013,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,364dI1bYnvamSnBJ8JcNzN,18,Intentions,2020-07-01T19:05:02Z,89,212868,78,Intentions,single,|Justin Bieber|Quavo,2/7/2020,9,1,4,0.317,0.811,0.553,0,0.105,-6.644,0.0552,0.86,148.014,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,7xbWAw3LMgRMn4omR5yVn3,19,Lose Somebody,2020-07-01T19:05:02Z,88,199549,79,Lose Somebody,single,|Kygo|OneRepublic,5/15/2020,1,1,4,0.344,0.58,0.586,0,0.0755,-6.883,0.0357,0.507,147.988,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,76nqCfJOcFFWBJN32PAksn,20,Kings & Queens,2020-07-01T19:05:02Z,90,162398,79,Kings & Queens,single,|Ava Max,3/12/2020,1,0,4,0.00775,0.638,0.688,0,0.126,-4.056,0.0407,0.434,129.856,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,14wf185UxfNbSy8dwt4r4q,21,MAMACITA,2020-07-01T19:05:02Z,90,249142,75,MAMACITA,single,|Black Eyed Peas|Ozuna|J. Rey Soul,4/10/2020,2,1,4,0.193,0.894,0.635,0.00105,0.0823,-6.929,0.0473,0.428,105.013,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,1Cv1YLb4q0RzL6pybtaMLo,22,Sunday Best,2020-07-01T19:05:02Z,93,158571,79,Where the Light Is,album,|Surfaces,1/6/2019,5,1,4,0.183,0.878,0.525,0,0.0714,-6.832,0.0578,0.694,112.022,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,7eJMfftS33KTjuF7lTsMCx,23,death bed (coffee for your head) (feat. beabadoobee),2020-07-01T19:05:02Z,97,173333,79,death bed (coffee for your head) (feat. beabadoobee),single,|Powfu|beabadoobee,2/8/2020,8,0,4,0.731,0.726,0.431,0,0.696,-8.765,0.135,0.348,144.026,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,4DpNNXFMMxQEKl7r0ykkWA,24,Play Date,2020-07-01T19:05:02Z,91,179867,70,Cry Baby (Deluxe Edition),album,|Melanie Martinez,8/14/2015,5,1,4,0.612,0.68,0.729,0,0.224,-5.077,0.0475,0.446,123.97,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,2qzUpSVI4NnPyWxbXwumTj,25,BLACK PARADE,2020-07-01T19:05:02Z,81,281272,79,BLACK PARADE,single,|Beyoncé,6/19/2020,1,1,4,0.00337,0.824,0.555,6.42E-06,0.217,-5.817,0.05,0.0611,120.002,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,7szuecWAPwGoV1e5vGu8tl,26,In Your Eyes,2020-07-01T19:05:02Z,91,237520,79,After Hours,album,|The Weeknd,3/20/2020,7,0,4,0.00285,0.667,0.719,8.10E-05,0.0736,-5.371,0.0346,0.717,100.021,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,4slSrbTK1sNK4I1mDYEthf,27,Rover (feat. DTG),2020-07-01T19:05:02Z,87,167916,79,Rover (feat. DTG),single,|S1mba|DTG,3/4/2020,11,0,5,0.496,0.613,0.624,0,0.283,-6.66,0.206,0.804,62.948,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,66W1rVTnEv86dIkFhoiElg,28,Secrets,2020-07-01T19:05:02Z,86,176766,79,Secrets,single,|Regard|RAYE,4/24/2020,6,0,4,0.0412,0.848,0.768,0.000785,0.195,-5.386,0.0373,0.777,118.961,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,3Dv1eDb0MEgF93GpLXlucZ,29,Say So,2020-07-01T19:05:02Z,92,237893,79,Hot Pink,album,|Doja Cat,11/7/2019,11,0,4,0.256,0.787,0.673,3.57E-06,0.0904,-4.577,0.158,0.786,110.962,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,6gxKUmycQX7uyMwJcweFjp,30,We Paid (feat. 42 Dugg),2020-07-01T19:05:02Z,83,181929,79,My Turn (Deluxe),album,|Lil Baby|42 Dugg,5/1/2020,1,1,4,0.135,0.926,0.542,0,0.0877,-5.064,0.293,0.564,135.14,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,6wJYhPfqk3KGhHRG76WzOh,31,Blueberry Faygo,2020-07-01T19:05:02Z,91,162546,79,Blueberry Faygo,single,|Lil Mosey,2/7/2020,0,1,4,0.207,0.774,0.554,0,0.132,-7.909,0.0383,0.349,99.034,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,2LUdpPCiiza6UQugipjMeS,32,Stunnin',2020-07-01T19:05:02Z,82,144013,0,Stunnin',single,|Curtis Waters|Harm Franklin,5/19/2020,11,0,4,0.329,0.906,0.604,0,0.255,-8.332,0.0746,0.899,99.996,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,7C1trmcQQ5n5RNy4l6ziCv,33,Some Say - Felix Jaehn Remix,2020-07-01T19:05:02Z,86,186878,79,Some Say (Felix Jaehn Remix),single,|Nea|Felix Jaehn,1/10/2020,6,1,4,0.406,0.682,0.7,0,0.174,-5.591,0.0397,0.637,120.03,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,6WrI0LAC5M1Rw2MnX2ZvEg,34,Don't Start Now,2020-07-01T19:05:02Z,92,183290,74,Don't Start Now,single,|Dua Lipa,10/31/2019,11,0,4,0.0125,0.794,0.793,0,0.0952,-4.521,0.0842,0.677,123.941,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,2t7D3y0jvYjR8IP9Bosyew,35,GO (feat. Juice WRLD),2020-07-01T19:05:02Z,85,183947,79,GO (feat. Juice WRLD),single,|The Kid LAROI|Juice WRLD,6/12/2020,6,1,4,0.185,0.544,0.744,0,0.336,-5.007,0.0889,0.572,73.699,7/1/2020
37i9dQZF1DXcBWIGoYBM5M,Pop,4TnjEaWOeW0eKTKIEvJyCa,36,Falling,2020-07-01T19:05:02Z,91,159381,79,Falling,single,|Trevor Daniel,10/5/2018,10,0,4,0.123,0.784,0.43,0,0.0887,-8.756,0.0364,0.236,127.087,7/1/2020
